Name,Brand,Price,Old_price,Discount,Category,Model,Gender,Color,Material,Savings,Brand_Price_Diff,Price_bucket,Is_Premium_Brand
Kinetix Cataleya Tx Hi Wp W,Kinetix,22490.0,24990.0,10.0,Kinetix обувь,CATALEYA TX HI WP W,Женщины,Белый,Текстиль,2500.0,9500.0,Mid-range,0
Lumberjack Maxim Hi 4Pr,Lumberjack,14990.0,34990.0,57.0,Lumberjack обувь,MAXIM HI 4PR,Мужчины,Черный,Текстиль,20000.0,1000.0,Budget,0
adidas Ax2S,adidas,39990.0,58990.0,32.0,adidas обувь,AX2S,Мужчины,Черный,Текстиль,19000.0,8000.0,Premium,0
Kinetix GracebInt 4Pr,Kinetix,6990.0,13990.0,50.0,Kinetix кроссовки,GRACE.B-INT 4PR,Девочка,Розовый,кожа,7000.0,-6000.0,Budget,0
Polaris SergeiInt 4Pr,Polaris,7990.0,17990.0,56.0,Polaris ботинки,SERGEI-INT 4PR,Мальчик,Черный,кожа,10000.0,0.0,Budget,0
Lumberjack Justin 4Pr,Lumberjack,19990.0,22990.0,13.0,Lumberjack кроссовки,JUSTIN 4PR,Мужчины,Черный,Текстиль,3000.0,6000.0,Mid-range,0
Kinetix Yely 4Pr  003,Kinetix,12990.0,16990.0,24.0,Kinetix кроссовки,YELY 4PR,Женщины,Бежевый,кожа,4000.0,0.0,Budget,0
Kinetix Yely 4Pr,Kinetix,13990.0,16990.0,18.0,Kinetix кроссовки,YELY 4PR,Женщины,Черный,кожа,3000.0,1000.0,Budget,0
Kinetix Magna Pu Hi 4Pr,Kinetix,11990.0,22990.0,48.0,Kinetix обувь,MAGNA PU HI 4PR,Мужчины,Черный,Текстиль,11000.0,-1000.0,Budget,0
Kinetix Steam Pu 4Pr,Kinetix,15990.0,18990.0,16.0,Kinetix обувь для бега,STEAM PU 4PR,Мужчины,Черный,кожа,3000.0,3000.0,Mid-range,0
Kinetix Rudow Pu 4Pr,Kinetix,16990.0,24990.0,32.0,Kinetix кроссовки,RUDOW PU 4PR,Мужчины,Черный,кожа,8000.0,4000.0,Mid-range,0
Kinetix Magna Pu 4Pr,Kinetix,15990.0,19990.0,20.0,Kinetix обувь,MAGNA PU 4PR,Мальчик,Серый,кожа,4000.0,3000.0,Mid-range,0
Kinetix NovembergirlInt 4Pr,Kinetix,12990.0,14990.0,13.0,Kinetix кроссовки,NOVEMBERGIRL-INT 4PR,Девочка,Черный,кожа,2000.0,0.0,Budget,0
